Group,Charging C-rate,Discharging C-rate,Mean DoD,Mean Lifetime [weeks]
1,0.500,0.500,25.9%,49.27
2,0.500,0.500,46.1%,26.49
3,0.500,0.500,67.8%,23.71
4,1.000,0.500,47.3%,26.71
5,1.000,0.500,97.5%,12.45
6,2.000,0.500,27.2%,42.92
7,2.000,0.500,46.9%,26.93
8,2.000,0.500,67.2%,17.43
9,2.000,0.500,96.9%,6.02
10,2.500,0.500,47.2%,18.58
12,3.000,0.500,28.6%,17.09
13,3.000,0.500,47.3%,14.78
14,3.000,0.500,66.3%,5.39
15,3.000,0.500,100.0%,
16,0.500,0.500,97.6%,16.11
17,1.000,0.500,67.5%,17.82
18,2.500,0.500,27.5%,25.79
19,2.500,0.500,65.7%,8.59
20,0.800,0.500,98.2%,12.07
21,1.200,0.500,98.0%,13.32
22,1.400,0.500,97.9%,9.85
23,1.600,0.500,97.6%,11.03
24,1.800,0.500,97.5%,10.27
25,1.800,0.600,51.4%,18.45
26,1.400,2.200,4.2%,39.79
27,0.600,2.400,57.8%,15.06
28,2.400,1.600,81.0%,9.03
29,1.600,1.800,52.5%,15.05
30,0.800,0.800,77.6%,13.31
31,1.200,1.000,61.4%,11.83
32,1.000,1.400,38.9%,18.72
33,2.000,1.200,40.6%,17.77
34,2.200,2.000,27.6%,21.40
35,1.825,0.500,97.0%,10.67
36,2.075,0.500,97.1%,10.23
37,0.725,0.500,98.1%,15.32
38,1.875,0.500,95.8%,10.62
39,1.475,0.500,97.1%,11.53
40,1.825,1.025,31.9%,28.97
41,2.075,1.775,67.0%,14.33
42,0.725,2.375,36.3%,18.67
43,1.875,2.325,38.0%,20.21
44,0.775,1.275,37.1%,19.25
45,1.125,1.725,80.3%,8.44
46,1.225,2.025,75.4%,8.84
47,2.325,1.925,48.3%,11.81
48,2.375,2.225,58.6%,9.66
49,0.975,0.675,18.8%,36.71
50,2.425,1.625,20.1%,20.77
51,2.275,1.875,53.6%,11.80
52,1.425,0.875,83.5%,15.63
53,2.025,0.825,91.5%,5.72
54,0.925,1.125,27.1%,27.19
55,1.025,2.475,61.4%,12.48
56,2.175,0.975,53.8%,18.46
57,1.775,1.175,17.4%,37.51
58,2.475,0.575,42.0%,19.36
59,1.325,1.825,31.6%,25.78
60,0.675,1.325,83.6%,10.67
61,2.125,1.975,54.1%,11.67
62,1.575,2.425,64.2%,11.54
63,1.975,1.675,80.6%,10.12
64,1.175,1.425,91.4%,8.16
