feature_week,rank_by_lifetime,domain,group_num,group_label,valid_cell_count,ft_cell_count,test_cell_count,lifetime_min,lifetime_median,lifetime_mean,lifetime_max,cells
w15,1,source,55,G55,1,0,0,12.901,12.901,12.901,12.901,G55C2
w15,2,source,41,G41,4,0,0,13.109,14.17,14.6125,17.001,"G41C1,G41C2,G41C3,G41C4"
w15,3,source,35,G35,1,0,0,14.67,14.67,14.67,14.67,G35C1
w15,4,source,63,G63,1,0,0,15.09,15.09,15.09,15.09,G63C4
w15,5,source,47,G47,1,0,0,15.604,15.604,15.604,15.604,G47C2
w15,6,source,62,G62,1,0,0,15.757,15.757,15.757,15.757,G62C1
w15,7,source,27,G27,3,0,0,13.647,15.953,16.016333333333332,18.449,"G27C1,G27C2,G27C4"
w15,8,source,52,G52,4,0,0,14.085,15.965,15.8285,17.299,"G52C1,G52C2,G52C3,G52C4"
w15,9,source,16,G16,1,0,0,16.803,16.803,16.803,16.803,G16C2
w15,10,source,13,G13,2,0,0,14.673,17.2445,17.2445,19.816,"G13C2,G13C3"
w15,11,source,10,G10,4,0,0,14.274,17.811500000000002,18.979,26.019,"G10C1,G10C2,G10C3,G10C4"
w15,12,source,17,G17,3,0,0,17.693,17.931,18.59566666666667,20.163,"G17C1,G17C2,G17C3"
w15,13,source,37,G37,2,0,0,17.315,18.0935,18.0935,18.872,"G37C1,G37C2"
w15,14,source,12,G12,3,0,0,17.066,18.249,19.599,23.482,"G12C1,G12C3,G12C4"
w15,15,source,33,G33,4,0,0,16.815,18.3115,19.584,24.898,"G33C1,G33C2,G33C3,G33C4"
w15,16,source,30,G30,1,0,0,18.651,18.651,18.651,18.651,G30C3
w15,17,source,56,G56,4,0,0,15.793,18.7435,18.82775,22.031,"G56C1,G56C2,G56C3,G56C4"
w15,18,source,32,G32,4,0,0,16.929,18.817999999999998,18.77725,20.544,"G32C1,G32C2,G32C3,G32C4"
w15,19,source,58,G58,3,0,0,17.241,18.974,21.209333333333333,27.413,"G58C1,G58C3,G58C4"
w15,20,source,29,G29,1,0,0,19.339,19.339,19.339,19.339,G29C2
w15,21,source,43,G43,4,0,0,18.174,20.168,20.5765,23.796,"G43C1,G43C2,G43C3,G43C4"
w15,22,source,42,G42,4,0,0,15.626,20.377499999999998,21.14825,28.212,"G42C1,G42C2,G42C3,G42C4"
w15,23,source,8,G8,3,0,0,15.549,21.183,19.925666666666668,23.045,"G8C2,G8C3,G8C4"
w15,24,source,18,G18,3,0,0,18.14,21.186,20.239333333333335,21.392,"G18C2,G18C3,G18C4"
w15,25,source,44,G44,4,0,0,13.902,22.2545,21.5965,27.975,"G44C1,G44C2,G44C3,G44C4"
w15,26,source,3,G3,4,0,0,18.319,22.6965,23.88025,31.809,"G3C1,G3C2,G3C3,G3C4"
w15,27,source,34,G34,4,0,0,19.617,22.7095,22.7985,26.158,"G34C1,G34C2,G34C3,G34C4"
w15,28,source,25,G25,2,0,0,16.659,23.6985,23.6985,30.738,"G25C3,G25C4"
w15,29,target,50,G50,4,2,2,17.418,24.434,24.813000000000002,32.966,"G50C1,G50C2,G50C3,G50C4"
w15,30,target,7,G7,4,2,2,22.278,24.801,27.30975,37.359,"G7C1,G7C2,G7C3,G7C4"
w15,31,target,59,G59,4,2,2,22.432,25.589,25.919249999999998,30.067,"G59C1,G59C2,G59C3,G59C4"
w15,32,target,4,G4,4,2,2,22.88,26.8115,26.858249999999998,30.93,"G4C1,G4C2,G4C3,G4C4"
w15,33,target,2,G2,4,2,2,24.14,27.223,26.7235,28.308,"G2C1,G2C2,G2C3,G2C4"
w15,34,target,54,G54,4,2,2,25.247,27.457,27.41575,29.502,"G54C1,G54C2,G54C3,G54C4"
w15,35,target,40,G40,4,1,3,27.979,28.455,29.0035,31.125,"G40C1,G40C2,G40C3,G40C4"
w15,36,target,49,G49,4,1,3,33.953,37.3795,36.7055,38.11,"G49C1,G49C2,G49C3,G49C4"
w15,37,target,57,G57,1,1,0,37.507,37.507,37.507,37.507,G57C3
w15,38,target,6,G6,3,1,2,35.971,38.443,40.03066666666666,45.678,"G6C1,G6C2,G6C4"
w15,39,target,26,G26,3,1,2,31.118,40.243,39.88066666666666,48.281,"G26C1,G26C2,G26C4"
w15,40,target,1,G1,2,1,1,32.002,40.462500000000006,40.462500000000006,48.923,"G1C1,G1C4"
