feature,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,lifetime_week
f1,1.000000,0.078423,0.627322,-0.264113,0.528172,0.093104,0.297240,0.385609,0.275730,-0.014351,-0.726098
f2,0.078423,1.000000,-0.232829,0.052502,-0.179631,-0.127558,0.572575,0.018907,0.470182,0.951493,0.050133
f3,0.627322,-0.232829,1.000000,-0.165312,0.468679,-0.301010,-0.274584,-0.154406,-0.417383,-0.238041,-0.566126
f4,-0.264113,0.052502,-0.165312,1.000000,-0.025908,0.137046,-0.022549,-0.020656,0.012300,0.080606,0.476058
f5,0.528172,-0.179631,0.468679,-0.025908,1.000000,0.656367,0.287263,0.544337,0.321757,-0.343674,-0.407148
f6,0.093104,-0.127558,-0.301010,0.137046,0.656367,1.000000,0.511637,0.778344,0.653798,-0.259238,0.021532
f7,0.297240,0.572575,-0.274584,-0.022549,0.287263,0.511637,1.000000,0.694588,0.894218,0.403117,-0.177172
f8,0.385609,0.018907,-0.154406,-0.020656,0.544337,0.778344,0.694588,1.000000,0.803043,-0.122128,-0.295315
f9,0.275730,0.470182,-0.417383,0.012300,0.321757,0.653798,0.894218,0.803043,1.000000,0.308911,-0.097390
f10,-0.014351,0.951493,-0.238041,0.080606,-0.343674,-0.259238,0.403117,-0.122128,0.308911,1.000000,0.117334
lifetime_week,-0.726098,0.050133,-0.566126,0.476058,-0.407148,0.021532,-0.177172,-0.295315,-0.097390,0.117334,1.000000
