feature,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,lifetime_week
f1,1.000000,-0.302520,0.585746,-0.015943,0.456402,-0.083492,0.328217,0.433367,0.125304,0.009789,-0.716715
f2,-0.302520,1.000000,-0.304798,0.016183,-0.073750,0.140258,0.040236,-0.074595,0.157956,0.435228,0.409026
f3,0.585746,-0.304798,1.000000,0.141721,0.345706,-0.466653,-0.090145,-0.054841,-0.304833,0.160288,-0.477189
f4,-0.015943,0.016183,0.141721,1.000000,0.279832,0.174371,0.133347,0.154092,0.078422,0.087363,0.149324
f5,0.456402,-0.073750,0.345706,0.279832,1.000000,0.631799,0.592821,0.547485,0.340491,0.012848,-0.375762
f6,-0.083492,0.140258,-0.466653,0.174371,0.631799,1.000000,0.666192,0.591335,0.557995,-0.165770,0.064077
f7,0.328217,0.040236,-0.090145,0.133347,0.592821,0.666192,1.000000,0.918608,0.756881,-0.155075,-0.241364
f8,0.433367,-0.074595,-0.054841,0.154092,0.547485,0.591335,0.918608,1.000000,0.676721,-0.305531,-0.340298
f9,0.125304,0.157956,-0.304833,0.078422,0.340491,0.557995,0.756881,0.676721,1.000000,-0.058376,-0.079477
f10,0.009789,0.435228,0.160288,0.087363,0.012848,-0.165770,-0.155075,-0.305531,-0.058376,1.000000,0.189789
lifetime_week,-0.716715,0.409026,-0.477189,0.149324,-0.375762,0.064077,-0.241364,-0.340298,-0.079477,0.189789,1.000000
