"feature_week","rank_by_lifetime","domain","group_num","group_label","valid_cell_count","ft_cell_count","test_cell_count","lifetime_min","lifetime_median","lifetime_mean","lifetime_max","cells"
"w5","1","source","9","G9","4","0","0","5.204","6.5215","6.54875","7.948","G9C1,G9C2,G9C3,G9C4"
"w5","2","source","64","G64","4","0","0","6.446","8.2515","8.24125","10.016","G64C1,G64C2,G64C3,G64C4"
"w5","3","source","45","G45","4","0","0","7.356","8.4565","8.48875","9.686","G45C1,G45C2,G45C3,G45C4"
"w5","4","source","48","G48","4","0","0","8.576","9.3505","9.8545","12.141","G48C1,G48C2,G48C3,G48C4"
"w5","5","source","63","G63","4","0","0","7.662","9.3725","10.37425","15.09","G63C1,G63C2,G63C3,G63C4"
"w5","6","source","46","G46","4","0","0","6.516","9.513","8.896","10.042","G46C1,G46C2,G46C3,G46C4"
"w5","7","source","28","G28","4","0","0","6.556","9.557","9.17425","11.027","G28C1,G28C2,G28C3,G28C4"
"w5","8","source","24","G24","4","0","0","9.256","10.2075","10.48625","12.274","G24C1,G24C2,G24C3,G24C4"
"w5","9","source","35","G35","4","0","0","7.827","10.220500000000001","10.7345","14.67","G35C1,G35C2,G35C3,G35C4"
"w5","10","source","19","G19","3","0","0","7.869","10.322","10.132666666666667","12.207","G19C1,G19C2,G19C3"
"w5","11","source","22","G22","4","0","0","7.003","10.4145","9.838","11.52","G22C1,G22C2,G22C3,G22C4"
"w5","12","source","38","G38","4","0","0","8.626","10.54","10.714","13.15","G38C1,G38C2,G38C3,G38C4"
"w5","13","source","60","G60","4","0","0","8.615","10.697","10.76425","13.048","G60C1,G60C2,G60C3,G60C4"
"w5","14","source","53","G53","1","0","0","10.766","10.766","10.766","10.766","G53C4"
"w5","15","source","47","G47","4","0","0","9.823","11.2195","11.9665","15.604","G47C1,G47C2,G47C3,G47C4"
"w5","16","source","23","G23","4","0","0","9.822","11.3295","11.163499999999999","12.173","G23C1,G23C2,G23C3,G23C4"
"w5","17","source","31","G31","4","0","0","10.083","11.3565","11.8875","14.754","G31C1,G31C2,G31C3,G31C4"
"w5","18","source","39","G39","4","0","0","10.832","11.672","11.60425","12.241","G39C1,G39C2,G39C3,G39C4"
"w5","19","source","51","G51","4","0","0","10.77","11.7995","11.94875","13.426","G51C1,G51C2,G51C3,G51C4"
"w5","20","source","62","G62","4","0","0","7.807","12.0145","11.89825","15.757","G62C1,G62C2,G62C3,G62C4"
"w5","21","source","36","G36","4","0","0","5.897","12.044","10.652000000000001","12.623","G36C1,G36C2,G36C3,G36C4"
"w5","22","source","20","G20","4","0","0","8.35","12.236","12.133","15.71","G20C1,G20C2,G20C3,G20C4"
"w5","23","source","30","G30","4","0","0","10.181","12.354","13.385","18.651","G30C1,G30C2,G30C3,G30C4"
"w5","24","source","55","G55","4","0","0","12.373","12.657","12.7395","13.271","G55C1,G55C2,G55C3,G55C4"
"w5","25","source","5","G5","4","0","0","8.218","12.707","12.481","16.292","G5C1,G5C2,G5C3,G5C4"
"w5","26","source","21","G21","4","0","0","10.91","12.75","13.315000000000001","16.85","G21C1,G21C2,G21C3,G21C4"
"w5","27","source","61","G61","3","0","0","8.528","13.197","11.937","14.086","G61C2,G61C3,G61C4"
