feature,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,lifetime_week
f1,1.000000,-0.396238,0.797371,-0.134037,0.742811,0.112156,0.433085,0.503984,0.133183,-0.145429,-0.862313
f2,-0.396238,1.000000,-0.420133,0.064073,-0.259534,0.056134,0.017069,-0.158408,0.171432,0.501970,0.405560
f3,0.797371,-0.420133,1.000000,-0.027069,0.642292,-0.200677,0.119308,0.168724,-0.197608,-0.092084,-0.714206
f4,-0.134037,0.064073,-0.027069,1.000000,0.076077,0.138767,0.050206,0.084510,0.067987,0.108152,0.220809
f5,0.742811,-0.259534,0.642292,0.076077,1.000000,0.587594,0.598043,0.603096,0.304954,-0.183204,-0.688784
f6,0.112156,0.056134,-0.200677,0.138767,0.587594,1.000000,0.674711,0.626786,0.584396,-0.192664,-0.132232
f7,0.433085,0.017069,0.119308,0.050206,0.598043,0.674711,1.000000,0.869556,0.749606,-0.011337,-0.402023
f8,0.503984,-0.158408,0.168724,0.084510,0.603096,0.626786,0.869556,1.000000,0.666818,-0.259594,-0.437521
f9,0.133183,0.171432,-0.197608,0.067987,0.304954,0.584396,0.749606,0.666818,1.000000,0.020214,-0.121102
f10,-0.145429,0.501970,-0.092084,0.108152,-0.183204,-0.192664,-0.011337,-0.259594,0.020214,1.000000,0.238899
lifetime_week,-0.862313,0.405560,-0.714206,0.220809,-0.688784,-0.132232,-0.402023,-0.437521,-0.121102,0.238899,1.000000
