week,step,feature_key,feature_short,target_key,valid_n,pearson_r,spearman_r,plot_file
3,1,f1_w3,Step 1: log|mean dQ/dV delta 3.6-3.9V| [w3],lifetime_weeks_EOL70,245,-0.8048364657679226,-0.80882993741279,step01_f1_w3.svg
3,2,f2_w3,Step 2: log|delta CV time| [w3],lifetime_weeks_EOL70,245,0.19539989715674988,0.3180935303834125,step02_f2_w3.svg
3,3,f3_w3,Step 3: DoD [w3],lifetime_weeks_EOL70,247,-0.7011751179277971,-0.7152103766042232,step03_f3_w3.svg
3,4,f4_w3,Step 4: delta Q1 DVA [w3],lifetime_weeks_EOL70,242,0.1222496357056252,0.11835145960633198,step04_f4_w3.svg
3,5,f5_w3,Step 5: sqrt(Cchg)*sqrt(DoD) [w3],lifetime_weeks_EOL70,247,-0.7087886181921202,-0.7217833514367532,step05_f5_w3.svg
3,6,f6_w3,Step 6: Cchg [w3],lifetime_weeks_EOL70,247,-0.21184529098224875,-0.2206463839833557,step06_f6_w3.svg
3,7,f7_w3,Step 7: log|var dQ/dV delta 3.0-3.6V| [w3],lifetime_weeks_EOL70,245,-0.3539887389204563,-0.33034378085500493,step07_f7_w3.svg
3,8,f8_w3,Step 8: delta Q3 DVA [w3],lifetime_weeks_EOL70,242,-0.36521991765053274,-0.38373042635585075,step08_f8_w3.svg
3,9,f9_w3,Step 9: log|mean dQ/dV delta 3.0-3.6V| [w3],lifetime_weeks_EOL70,245,-0.1284345798960563,-0.22564770010363203,step09_f9_w3.svg
3,10,f10_w3,Step 10: log|CV time w0| [w3],lifetime_weeks_EOL70,247,0.20721205281423646,0.29455257701694104,step10_f10_w3.svg
5,1,f1_w5,Step 1: log|mean dQ/dV delta 3.6-3.9V| [w5],lifetime_weeks_EOL70,241,-0.8278019420898332,-0.8876213092829464,step01_f1_w5.svg
5,2,f2_w5,Step 2: log|delta CV time| [w5],lifetime_weeks_EOL70,241,0.28571782550714275,0.4489926879484168,step02_f2_w5.svg
5,3,f3_w5,Step 3: DoD [w5],lifetime_weeks_EOL70,247,-0.7011751179277971,-0.7152103766042232,step03_f3_w5.svg
5,4,f4_w5,Step 4: delta Q1 DVA [w5],lifetime_weeks_EOL70,236,0.2159153894063955,0.21799997261111898,step04_f4_w5.svg
5,5,f5_w5,Step 5: sqrt(Cchg)*sqrt(DoD) [w5],lifetime_weeks_EOL70,247,-0.7087886181921202,-0.7217833514367532,step05_f5_w5.svg
5,6,f6_w5,Step 6: Cchg [w5],lifetime_weeks_EOL70,247,-0.21184529098224875,-0.2206463839833557,step06_f6_w5.svg
5,7,f7_w5,Step 7: log|var dQ/dV delta 3.0-3.6V| [w5],lifetime_weeks_EOL70,241,-0.4256367242195269,-0.44872003703576696,step07_f7_w5.svg
5,8,f8_w5,Step 8: delta Q3 DVA [w5],lifetime_weeks_EOL70,236,-0.40796511688505,-0.4834858741846102,step08_f8_w5.svg
5,9,f9_w5,Step 9: log|mean dQ/dV delta 3.0-3.6V| [w5],lifetime_weeks_EOL70,241,-0.1652332851370662,-0.25795325949041525,step09_f9_w5.svg
5,10,f10_w5,Step 10: log|CV time w0| [w5],lifetime_weeks_EOL70,247,0.20721205281423646,0.29455257701694104,step10_f10_w5.svg
10,1,f1_w10,Step 1: log|mean dQ/dV delta 3.6-3.9V| [w10],lifetime_weeks_EOL70,217,-0.839715414057182,-0.9526029115404671,step01_f1_w10.svg
10,2,f2_w10,Step 2: log|delta CV time| [w10],lifetime_weeks_EOL70,217,0.048293537431449846,-0.04602321155440499,step02_f2_w10.svg
10,3,f3_w10,Step 3: DoD [w10],lifetime_weeks_EOL70,247,-0.7011751179277971,-0.7152103766042232,step03_f3_w10.svg
10,4,f4_w10,Step 4: delta Q1 DVA [w10],lifetime_weeks_EOL70,197,0.0325744789341619,-0.12295439634090831,step04_f4_w10.svg
10,5,f5_w10,Step 5: sqrt(Cchg)*sqrt(DoD) [w10],lifetime_weeks_EOL70,247,-0.7087886181921202,-0.7217833514367532,step05_f5_w10.svg
10,6,f6_w10,Step 6: Cchg [w10],lifetime_weeks_EOL70,247,-0.21184529098224875,-0.2206463839833557,step06_f6_w10.svg
10,7,f7_w10,Step 7: log|var dQ/dV delta 3.0-3.6V| [w10],lifetime_weeks_EOL70,217,-0.7154588397702256,-0.8877473846399564,step07_f7_w10.svg
10,8,f8_w10,Step 8: delta Q3 DVA [w10],lifetime_weeks_EOL70,197,-0.613494272731181,-0.8519191709909621,step08_f8_w10.svg
10,9,f9_w10,Step 9: log|mean dQ/dV delta 3.0-3.6V| [w10],lifetime_weeks_EOL70,217,-0.48989389169837605,-0.7285169370105742,step09_f9_w10.svg
10,10,f10_w10,Step 10: log|CV time w0| [w10],lifetime_weeks_EOL70,247,0.20721205281423646,0.29455257701694104,step10_f10_w10.svg
15,1,f1_w15,Step 1: log|mean dQ/dV delta 3.6-3.9V| [w15],lifetime_weeks_EOL70,153,-0.8375841242558022,-0.9358154745151649,step01_f1_w15.svg
15,2,f2_w15,Step 2: log|delta CV time| [w15],lifetime_weeks_EOL70,153,-0.03377341420038064,-0.19136834559162633,step02_f2_w15.svg
15,3,f3_w15,Step 3: DoD [w15],lifetime_weeks_EOL70,247,-0.7011751179277971,-0.7152103766042232,step03_f3_w15.svg
15,4,f4_w15,Step 4: delta Q1 DVA [w15],lifetime_weeks_EOL70,122,-0.0571748728799575,-0.33572356181494345,step04_f4_w15.svg
15,5,f5_w15,Step 5: sqrt(Cchg)*sqrt(DoD) [w15],lifetime_weeks_EOL70,247,-0.7087886181921202,-0.7217833514367532,step05_f5_w15.svg
15,6,f6_w15,Step 6: Cchg [w15],lifetime_weeks_EOL70,247,-0.21184529098224875,-0.2206463839833557,step06_f6_w15.svg
15,7,f7_w15,Step 7: log|var dQ/dV delta 3.0-3.6V| [w15],lifetime_weeks_EOL70,153,-0.778289412194764,-0.9160903595888116,step07_f7_w15.svg
15,8,f8_w15,Step 8: delta Q3 DVA [w15],lifetime_weeks_EOL70,122,-0.6920713014903549,-0.8892542156691042,step08_f8_w15.svg
15,9,f9_w15,Step 9: log|mean dQ/dV delta 3.0-3.6V| [w15],lifetime_weeks_EOL70,153,-0.6822890661456764,-0.8587277016069585,step09_f9_w15.svg
15,10,f10_w15,Step 10: log|CV time w0| [w15],lifetime_weeks_EOL70,247,0.20721205281423646,0.29455257701694104,step10_f10_w15.svg
