feature,f1_w6,f2_w6,f3_w6,f4_w6,f5_w6,f6_w6,f7_w6,f8_w6,f9_w6,f10_w6,lifetime_week
f1_w6,1.000000,-0.196490,0.774098,-0.082755,0.718699,0.105066,0.629067,0.561925,0.279074,-0.104737,-0.844686
f2_w6,-0.196490,1.000000,-0.391687,0.075697,-0.252775,0.030247,0.070809,-0.078457,0.240587,0.399538,0.308492
f3_w6,0.774098,-0.391687,1.000000,0.015728,0.651643,-0.146069,0.259183,0.213339,-0.126775,-0.108504,-0.717712
f4_w6,-0.082755,0.075697,0.015728,1.000000,0.022069,0.038885,0.107766,0.117161,0.074979,0.159124,0.180013
f5_w6,0.718699,-0.252775,0.651643,0.022069,1.000000,0.624468,0.620129,0.573494,0.359588,-0.204328,-0.724910
f6_w6,0.105066,0.030247,-0.146069,0.038885,0.624468,1.000000,0.560266,0.533177,0.574626,-0.206297,-0.213324
f7_w6,0.629067,0.070809,0.259183,0.107766,0.620129,0.560266,1.000000,0.860128,0.745534,-0.014413,-0.526135
f8_w6,0.561925,-0.078457,0.213339,0.117161,0.573494,0.533177,0.860128,1.000000,0.675963,-0.294454,-0.487191
f9_w6,0.279074,0.240587,-0.126775,0.074979,0.359588,0.574626,0.745534,0.675963,1.000000,-0.017754,-0.229469
f10_w6,-0.104737,0.399538,-0.108504,0.159124,-0.204328,-0.206297,-0.014413,-0.294454,-0.017754,1.000000,0.247643
lifetime_week,-0.844686,0.308492,-0.717712,0.180013,-0.724910,-0.213324,-0.526135,-0.487191,-0.229469,0.247643,1.000000
