"week","cell","split","group_num","cell_idx","feature_status","lifetime_weeks_EOL70"
"5","G1C1","fine_tune","1","1","ok","48.923"
"5","G1C4","fine_tune","1","4","ok","32.002"
"5","G10C1","train","10","1","ok","15.384"
"5","G10C2","train","10","2","ok","20.239"
"5","G10C3","train","10","3","ok","14.274"
"5","G10C4","train","10","4","ok","26.019"
"5","G12C1","train","12","1","ok","17.066"
"5","G12C2","train","12","2","ok","9.775"
"5","G12C3","train","12","3","ok","18.249"
"5","G12C4","train","12","4","ok","23.482"
"5","G13C1","train","13","1","ok","13.4"
"5","G13C2","train","13","2","ok","19.816"
"5","G13C3","train","13","3","ok","14.673"
"5","G13C4","train","13","4","ok","12.518"
"5","G16C1","train","16","1","ok","15.427"
"5","G16C2","train","16","2","ok","16.803"
"5","G16C3","train","16","3","ok","16.469"
"5","G16C4","train","16","4","ok","15.966"
"5","G17C1","train","17","1","ok","17.693"
"5","G17C2","train","17","2","ok","17.931"
"5","G17C3","train","17","3","ok","20.163"
"5","G17C4","train","17","4","ok","15.718"
"5","G18C2","fine_tune","18","2","ok","21.392"
"5","G18C3","fine_tune","18","3","ok","21.186"
"5","G18C4","test","18","4","ok","18.14"
"5","G19C1","train","19","1","ok","10.322"
"5","G19C2","train","19","2","ok","7.869"
"5","G19C3","train","19","3","ok","12.207"
"5","G2C1","fine_tune","2","1","ok","24.14"
"5","G2C2","fine_tune","2","2","ok","27.994"
"5","G2C3","test","2","3","ok","28.308"
"5","G2C4","test","2","4","ok","26.452"
"5","G20C1","train","20","1","ok","8.35"
"5","G20C2","train","20","2","ok","9.577"
"5","G20C3","train","20","3","ok","14.895"
"5","G20C4","train","20","4","ok","15.71"
"5","G21C1","train","21","1","ok","10.91"
"5","G21C2","train","21","2","ok","16.85"
"5","G21C3","train","21","3","ok","13.414"
"5","G21C4","train","21","4","ok","12.086"
"5","G22C1","train","22","1","ok","11.055"
"5","G22C2","train","22","2","ok","7.003"
"5","G22C3","train","22","3","ok","11.52"
"5","G22C4","train","22","4","ok","9.774"
